     40/99     2.75G   0.03551   0.01094  0.006735   0.05318        16       448    0.7925    0.7538    0.7937    0.5224   0.02727  0.007026   0.01004
     41/99     2.75G   0.03399    0.0107  0.006653   0.05134         8       448     0.881    0.6935    0.8082    0.4799   0.02955  0.006933   0.01028
     42/99     2.75G   0.03071   0.01105  0.006282   0.04804        29       448    0.7427    0.7324    0.7783    0.4894   0.03233  0.007003   0.01087
     43/99     2.75G   0.03453   0.01051  0.006453   0.05149        23       448    0.8657    0.7047    0.7815    0.4404   0.03551  0.007207   0.01185
     44/99     2.75G   0.03429   0.01034    0.0062   0.05083        17       448    0.7219    0.7808    0.7713    0.4726   0.03212  0.006983   0.01213
     45/99     2.75G   0.03099   0.01045  0.006087   0.04753        18       448    0.8919    0.7124     0.771    0.4896   0.02928  0.006923  0.009457
     46/99     2.75G   0.02775   0.01036  0.005874   0.04398        18       448    0.8901    0.7016    0.7962    0.5121   0.02955  0.006748  0.009598
     47/99     2.75G   0.02968   0.01012  0.005429   0.04524        26       448    0.6829    0.7844    0.7855    0.5051   0.02783  0.006789   0.01094
     48/99     2.75G      0.03  0.009965  0.005462   0.04543        20       448    0.8253    0.7132     0.774    0.4788   0.02822  0.006818  0.009832
     49/99     2.75G   0.02773   0.01016  0.005508    0.0434        20       448    0.8248    0.7677    0.7997    0.4918   0.03387  0.006692   0.01013
     50/99     2.75G   0.03142   0.01044  0.005634    0.0475        27       448    0.8281    0.7601    0.8002    0.4257   0.03144  0.006895  0.009996
     51/99     2.75G   0.03071   0.01047  0.005758   0.04694        18       448    0.7655    0.8044    0.8109    0.5341   0.02515  0.006837    0.0115
     52/99     2.75G   0.02776   0.01035  0.005482   0.04359        21       448    0.7697    0.8206    0.8167    0.5313     0.025  0.006522  0.009969
     53/99     2.75G   0.02602   0.00998  0.005838   0.04184        15       448    0.8751    0.6654    0.7922    0.5083   0.02585  0.006463  0.009144
     54/99     2.75G    0.0278  0.009741  0.005181   0.04272        21       448    0.8604    0.7103    0.7967    0.4976   0.02772  0.006551  0.009492
     55/99     2.75G   0.02642   0.01009  0.005021   0.04153        25       448    0.8493    0.7178    0.8183     0.534   0.02693  0.006511  0.009134
     56/99     2.75G   0.02587  0.009287  0.004638   0.03979        29       448    0.8661    0.7382    0.8171    0.5067   0.02906  0.006409  0.008173
     57/99     2.75G   0.02419  0.009251  0.004926   0.03837        35       448    0.8422    0.7766    0.8359    0.5693   0.02381  0.006347  0.007292
     58/99     2.75G   0.02712  0.009663  0.004567   0.04135        35       448    0.8945    0.7314    0.8328    0.5603   0.02549  0.006372  0.008228
     59/99     2.75G   0.02662  0.009766  0.004715    0.0411        22       448    0.8187    0.7664    0.8229    0.5477   0.02527  0.006417  0.008687
     60/99     2.75G    0.0244  0.008768  0.003587   0.03676        27       448    0.9181    0.7295    0.8276    0.5861   0.02377  0.006588  0.008886
     61/99     2.75G   0.02373  0.009177  0.004525   0.03743        18       448    0.9142    0.7335    0.8336      0.56   0.02723  0.006401  0.008782
     62/99     2.75G   0.02648  0.009125  0.004445   0.04006        21       448    0.8619    0.8114    0.8331    0.5694   0.02734  0.006582  0.008506
     63/99     2.75G   0.02321    0.0093  0.003942   0.03645        38       448    0.9131    0.7558    0.8315    0.5809   0.02568  0.006583  0.009068
     64/99     2.75G   0.02265    0.0095  0.004035   0.03618        47       448    0.8495    0.8021    0.8401    0.5854   0.02526  0.006377  0.008937
     65/99     2.75G   0.02446   0.00954  0.004132   0.03813        26       448    0.8877    0.7999    0.8453    0.5496   0.02552  0.006406  0.007597
     66/99     2.75G   0.02479  0.008825  0.004023   0.03764        28       448    0.8834    0.7971    0.8535    0.6044   0.02302  0.006326  0.007586
     67/99     2.75G   0.02166  0.009186  0.003525   0.03437        12       448    0.8935    0.7701    0.8456    0.5882   0.02267  0.006182  0.009647
     68/99     2.75G   0.02161  0.009005  0.003743   0.03436        18       448     0.856    0.8147    0.8446    0.5908   0.02199  0.006303  0.009335
     69/99     2.75G   0.02325  0.008654  0.003912   0.03581        25       448    0.8012    0.8323    0.8236    0.5712    0.0228  0.006244  0.009387
     70/99     2.75G   0.02322  0.008966  0.003292   0.03548        31       448    0.8837     0.809    0.8268    0.5876    0.0219  0.006112  0.008572
     71/99     2.75G   0.02075  0.008712  0.003274   0.03273        32       448    0.8853     0.808    0.8326    0.5941   0.02072  0.005988  0.007924
     72/99     2.75G   0.01973  0.008258  0.003557   0.03154        29       448    0.9086    0.8044    0.8349    0.5821   0.02224  0.006145  0.008151
     73/99     2.75G   0.02034  0.008786  0.003486   0.03261        13       448    0.9162    0.7656     0.841    0.5823   0.02108  0.006346   0.00854
     74/99     2.75G   0.01994  0.008275  0.003765   0.03198        18       448    0.9411     0.746    0.8361    0.5784   0.02095  0.006122  0.009117
     75/99     2.75G    0.0195  0.008127  0.003698   0.03132        17       448    0.8773     0.788    0.8326    0.6029   0.02006  0.006088  0.008919
     76/99     2.75G   0.01969  0.008434    0.0037   0.03183        20       448     0.888    0.7783    0.8459    0.6105   0.02088  0.006066  0.007938
     77/99     2.75G      0.02  0.007934  0.003147   0.03108        18       448    0.8094    0.7618    0.8291    0.5865   0.02054   0.00613  0.008565
     78/99     2.75G   0.01994  0.008263  0.003239   0.03144        21       448    0.8384    0.7731    0.8158    0.5811   0.02198  0.005969  0.009555
     79/99     2.75G   0.01951  0.007625   0.00322   0.03036        33       448    0.8015    0.7916    0.8186    0.6011   0.02142  0.006189  0.009167
     80/99     2.75G   0.01925  0.007774  0.002894   0.02992        11       448    0.7256    0.8013    0.8173    0.6001   0.01959  0.006199  0.009463
     81/99     2.75G   0.01858  0.008276  0.003195   0.03005        27       448    0.8595    0.7726    0.8152    0.6114   0.01898  0.006018  0.009903
     82/99     2.75G   0.01796  0.007467  0.003106   0.02853        15       448    0.8968    0.7583    0.8055    0.5861   0.02059  0.006097  0.009943
     83/99     2.75G   0.01814   0.00797  0.003102   0.02921        21       448    0.8933    0.7795     0.823    0.6124   0.02003  0.006082  0.009095
     84/99     2.75G   0.01838  0.008227  0.003228   0.02983        20       448    0.8316    0.8012    0.8224    0.6179   0.01946  0.005967  0.008183
